StrCode	Str
9526	<COLOR=FFE36C0A>[Quest Start - Assault Soldier Nata]<RETURN=1/></COLOR>The glory of victory is forever.<RETURN=1/><RETURN=1/>The record of eliminating <NPCNAME= 937/> will remain forever. We have to let everybody know about our victory by making a record of it.<RETURN=1/><RETURN=1/><COLOR=FFE36C0A>[Task]<RETURN=1/></COLOR>Eliminate <NPCNAME= 937/> in <MAPNAME=34/>.
9527	Eliminate <NPCNAME= 937/> in <MAPNAME=34/>.
9528	<COLOR=FFE36C0A>[Quest End - Lamia]<RETURN=1/></COLOR>Thank you.<RETURN=1/><RETURN=1/>The record of our victory will remain for a long time.
9529	<COLOR=FFE36C0A>[Quest Start - Lamia]<RETURN=1/></COLOR>The glory of victory is forever.<RETURN=1/><RETURN=1/>The record of eliminating <NPCNAME= 916/> will remain forever. We have to let everybody know about our victory by making a record of it.<RETURN=1/><RETURN=1/><COLOR=FFE36C0A>[Task]<RETURN=1/></COLOR>Eliminate <NPCNAME= 916/> in <MAPNAME=34/>.
9530	Eliminate <NPCNAME= 916/> in <MAPNAME=34/>.
9531	<COLOR=FFE36C0A>[Quest End - Lamia]<RETURN=1/></COLOR>Thank you.<RETURN=1/><RETURN=1/>The record of our victory will remain for a long time.
9532	<COLOR=FFE36C0A>[Quest Start - Scylla]<RETURN=1/></COLOR>You successfully reclaimed Galenoa Jungle.<RETURN=1/><RETURN=1/>The jungle is definitely ours now, but some are still resisting. Eliminate them and raise our dignity.<RETURN=1/><RETURN=1/><COLOR=FFE36C0A>[Task]<RETURN=1/></COLOR>Eliminate <NPCNAME= 1984/> in <MAPNAME=58021/>.
9533	Eliminate <NPCNAME= 1984/> in <MAPNAME=58021/>.
9534	<COLOR=FFE36C0A>[Quest End - Scylla]<RETURN=1/></COLOR>Well done.<RETURN=1/><RETURN=1/>All of the unit members are praising you.
9535	<COLOR=FFE36C0A>[Quest Start - Scylla]<RETURN=1/></COLOR>You successfully reclaimed Galenoa Jungle.<RETURN=1/><RETURN=1/>The jungle is definitely ours now, but some are still resisting. Eliminate them and raise our dignity.<RETURN=1/><RETURN=1/><COLOR=FFE36C0A>[Task]<RETURN=1/></COLOR>Eliminate <NPCNAME= 1989/> in <MAPNAME=58021/>.
9536	Eliminate <NPCNAME= 1989/> in <MAPNAME=58021/>.
9537	<COLOR=FFE36C0A>[Quest End - Scylla]<RETURN=1/></COLOR>Well done.<RETURN=1/><RETURN=1/>All of the unit members are praising you.
9538	<COLOR=FFE36C0A>[Quest Start - Scylla]<RETURN=1/></COLOR>You successfully reclaimed Galenoa Jungle.<RETURN=1/><RETURN=1/>The jungle is definitely ours now, but some are still resisting. Eliminate them and raise our dignity.<RETURN=1/><RETURN=1/><COLOR=FFE36C0A>[Task]<RETURN=1/></COLOR>Eliminate <NPCNAME= 1994/> in <MAPNAME=58021/>.
9539	Eliminate <NPCNAME= 1994/> in <MAPNAME=58021/>.
9540	<COLOR=FFE36C0A>[Quest End - Scylla]<RETURN=1/></COLOR>Well done.<RETURN=1/><RETURN=1/>All of the unit members are praising you.
9541	<COLOR=FFE36C0A>[Quest Start - Scylla]<RETURN=1/></COLOR>The glory of victory must be recorded.<RETURN=1/><RETURN=1/>Everybody is praising our victory. It's a great achievement to eliminate the captain of the enemy, and you deserve all the praise. We should keep a record of eliminating the enemy captain so that people will continue to remember and celebrate it.<RETURN=1/><RETURN=1/><COLOR=FFE36C0A>[Task]<RETURN=1/></COLOR>Eliminate captain monsters of Lv. 140 or higher.
9542	The glory of our victory must be recorded.
9543	<COLOR=FFE36C0A>[Quest End - Scylla]<RETURN=1/></COLOR>Thank you.<RETURN=1/><RETURN=1/>Everyone will remember today's victory.
9544	<COLOR=FFE36C0A>[Quest Start - Scylla]<RETURN=1/></COLOR>We need more records of victory.<RETURN=1/><RETURN=1/>Everybody is praising us. It's a great achievement to eliminate the captain of the enemy, and you deserve all the praise. We should keep a record of eliminating the enemy captain so that people will continue to remember and celebrate it.<RETURN=1/><RETURN=1/><COLOR=FFE36C0A>[Task]<RETURN=1/></COLOR>Eliminate captain monsters of Lv. 140 or higher.
9545	<RETURN=1/>
9546	<COLOR=FFE36C0A>[Quest End - Scylla]<RETURN=1/></COLOR>We need more records of victory.
9547	<COLOR=FFE36C0A>[Quest Start - Scylla]<RETURN=1/></COLOR>People love the story of a hero.<RETURN=1/><RETURN=1/>They get excited about the story of a hero fighting in battle. It's my job to record these stories. People will laud the story of a hero and join the Republic army with pride. How about putting your story of war to paper? <RETURN=1/><RETURN=1/><COLOR=FFE36C0A>[Task]<RETURN=1/></COLOR>Eliminate leader monsters of level 136 or higher.
9548	Eliminate leader monsters of level 136 or higher.
9549	<COLOR=FFE36C0A>[Quest End - Scylla]<RETURN=1/></COLOR>Good job.<RETURN=1/><RETURN=1/>People will love your story.
9550	<COLOR=FFE36C0A>[Quest Start - Scylla]<RETURN=1/></COLOR>People love the story of a hero.<RETURN=1/><RETURN=1/>They get excited about the story of a hero fighting in battle. It's my job to record these stories. People will laud the story of a hero and join the Republic army with pride. How about putting your story of war to paper? <RETURN=1/><RETURN=1/><COLOR=FFE36C0A>[Task]<RETURN=1/></COLOR>Eliminate leader monsters of level 136 or higher.
9551	People will love your story.
9552	<COLOR=FFE36C0A>[Quest End - Scylla]<RETURN=1/></COLOR>Good job.<RETURN=1/><RETURN=1/>People will love your story.
9553	<COLOR=FFE36C0A>[Quest Start - Scylla]<RETURN=1/></COLOR>People are excited about your story.<RETURN=1/><RETURN=1/>There's nothing more interesting than a story of a hero at a time of war like this. It's inspiring. And more and more people are joining the army. We want to see more of your heroic deeds.<RETURN=1/><COLOR=FFE36C0A>[Task]<RETURN=1/></COLOR>Eliminate leader monsters of level 140 or higher.
9554	People love your story.
9555	<COLOR=FFE36C0A>[Quest End - Scylla]<RETURN=1/></COLOR>Good job.<RETURN=1/><RETURN=1/>People will love your story.
9556	<COLOR=FFE36C0A>[Quest Start]<RETURN=1/></COLOR>People are excited about your story.<RETURN=1/><RETURN=1/>There's nothing more interesting than the story of a hero at a time of war like this. It's inspiring. And more and more people are joining the army. We want to see more of your heroic deeds.<RETURN=1/><RETURN=1/><COLOR=FFE36C0A>[Task]<RETURN=1/></COLOR>Eliminate leader monsters of level 140 or higher.
9557	People will love your story.
9558	<COLOR=FFE36C0A>[Quest End - Scylla]<RETURN=1/></COLOR>Good job.<RETURN=1/><RETURN=1/>People will love your story.
9559	<COLOR=FFE36C0A>[Quest Start - Scylla]<RETURN=1/></COLOR>People are so into your story.<RETURN=1/><RETURN=1/>There's nothing more interesting than the story of a hero at a time of war like this. It's inspiring. And more and more people are joining the army. We want to see more of your heroic deeds.<RETURN=1/><RETURN=1/><COLOR=FFE36C0A>[Task]<RETURN=1/></COLOR>Eliminate leader monsters of level 140 or higher.
9560	People will love your story.
9561	<COLOR=FFE36C0A>[Quest End - Scylla]<RETURN=1/></COLOR>Good job.<RETURN=1/><RETURN=1/>People will love your story.
9562	<COLOR=FFE36C0A>[Quest Start - Scylla]<RETURN=1/></COLOR>People are so into your story.<RETURN=1/><RETURN=1/>There's nothing more interesting than the story of a hero at a time of war like this. It's inspiring. And more and more people are joining the army. We want to see more of your heroic deeds.<RETURN=1/><RETURN=1/><COLOR=FFE36C0A>[Task]<RETURN=1/></COLOR>Eliminate leader monsters of level 140 or higher.
9563	People will love your story.
9564	<COLOR=FFE36C0A>[Quest End - Scylla]<RETURN=1/></COLOR>Good job.<RETURN=1/><RETURN=1/>People will love your story.
9565	<COLOR=FFE36C0A>[Quest Start - Asteria]<RETURN=1/></COLOR>The Pledge of Helron is an honorable pledge given only to those who win wars.<RETURN=1/><RETURN=1/>Do you want the Pledge of Helron? Prove to me that you are a true warrior.<RETURN=1/><RETURN=1/><COLOR=FFE36C0A>[Task]<RETURN=1/></COLOR>Eliminate <NPCNAME= 708/> in <MAPNAME=27/>.
9566	Eliminate <NPCNAME= 708/> in <MAPNAME=27/>.
9567	<COLOR=FFE36C0A>[Quest End - Asteria]<RETURN=1/></COLOR>Well done.<RETURN=1/><RETURN=1/>I'll give you the Pledge of Helron as proof of your victory.
9568	<COLOR=FFE36C0A>[Quest Start - Asteria]<RETURN=1/></COLOR>The Pledge of Helron is an honorable pledge given only to those who win wars.<RETURN=1/><RETURN=1/>Do you want the Pledge of Helron? Prove to me that you are a true warrior.<RETURN=1/><RETURN=1/><COLOR=FFE36C0A>[Task]<RETURN=1/></COLOR>Eliminate <NPCNAME= 756/> in <MAPNAME=28/>.
9569	Eliminate <NPCNAME= 756/> in <MAPNAME=28/>.
9570	<COLOR=FFE36C0A>[Quest End - Asteria]<RETURN=1/></COLOR>Well done.<RETURN=1/><RETURN=1/>I'll give you the Pledge of Helron as proof of your victory.
9571	<COLOR=FFE36C0A>[Quest Start - Asteria]<RETURN=1/></COLOR>The Pledge of Helron is an honorable pledge given only to those who win wars.<RETURN=1/><RETURN=1/>Do you want the Pledge of Helron? Prove to me that you are a true warrior.<RETURN=1/><RETURN=1/><COLOR=FFE36C0A>[Task]<RETURN=1/></COLOR>Eliminate <NPCNAME= 728/> in <MAPNAME=29/>.
9572	Eliminate <NPCNAME= 728/> in <MAPNAME=29/>.
9573	<COLOR=FFE36C0A>[Quest End - Asteria]<RETURN=1/></COLOR>Well done.<RETURN=1/><RETURN=1/>I'll give you the Pledge of Helron as proof of your victory.
9574	<COLOR=FFE36C0A>[Quest Start - Asteria]<RETURN=1/></COLOR>The Pledge of Helron is an honorable pledge given only to those who win wars.<RETURN=1/><RETURN=1/>Do you want the Pledge of Helron? Prove to me that you are a true warrior.<RETURN=1/><RETURN=1/><COLOR=FFE36C0A>[Task]<RETURN=1/></COLOR>Eliminate <NPCNAME= 853/> in <MAPNAME=26/>.
9575	Eliminate <NPCNAME= 853/> in <MAPNAME=26/>.
9576	<COLOR=FFE36C0A>[Quest End - Asteria]<RETURN=1/></COLOR>Well done.<RETURN=1/><RETURN=1/>I'll give you the Pledge of Helron as proof of your victory.
9577	<COLOR=FFE36C0A>[Quest Start - Bellona]<RETURN=1/></COLOR>People are waiting to hear the story of a hero.<RETURN=1/><RETURN=1/>Anyone with the Pledge of Helron is a hero, and your story will vitalize war-stricken people. If you're a hero, prove it and tell us your story. Your story will be a hope for everyone.<RETURN=1/><RETURN=1/><COLOR=FFE36C0A>[Task]<RETURN=1/></COLOR>Get the following item. <ITEMNAME=40972/>
9578	People are waiting to hear the story of a hero.
9579	<COLOR=FFE36C0A>[Quest End - Bellona]<RETURN=1/></COLOR>Thank you.<RETURN=1/><RETURN=1/>People will find hope in your story.
9580	<COLOR=FFE36C0A>[Quest Start - Bellona]<RETURN=1/></COLOR>People are waiting to hear the story of a hero.<RETURN=1/><RETURN=1/>Anyone with the Pledge of Helron is a hero, and your story will vitalize war-stricken people. If you're a hero, prove it and tell us your story. Your story will be a hope for everyone.<RETURN=1/><RETURN=1/><COLOR=FFE36C0A>[Task]<RETURN=1/></COLOR>Get the following item. <ITEMNAME=40973/>
9581	People are waiting to hear the story of a hero.
9582	<COLOR=FFE36C0A>[Quest End - Bellona]<RETURN=1/></COLOR>Thank you.<RETURN=1/><RETURN=1/>People will find hope in your story.
9583	<COLOR=FFE36C0A>[Quest Start - Bellona]<RETURN=1/></COLOR>People are waiting to hear the story of a hero.<RETURN=1/><RETURN=1/>Anyone with the Pledge of Helron is a hero, and your story will vitalize war-stricken people. If you're a hero, prove it and tell us your story. Your story will be a hope for everyone.<RETURN=1/><RETURN=1/><COLOR=FFE36C0A>[Task]<RETURN=1/></COLOR>Get the following item. <ITEMNAME=40974/>
9584	People are waiting to hear the story of a hero.
9585	<COLOR=FFE36C0A>[Quest End - Bellona]<RETURN=1/></COLOR>Thank you.<RETURN=1/><RETURN=1/>People will find hope in your story.
9586	<COLOR=FFE36C0A>[Quest Start - Bellona]<RETURN=1/></COLOR>People are excited about your story. <RETURN=1/><RETURN=1/>Anyone with the Pledge of Helron is a hero, and your story will vitalize the war-stricken. If you're a hero, prove it and tell us your story. Your story will be a hope for everyone.<RETURN=1/><RETURN=1/><COLOR=FFE36C0A>[Task]<RETURN=1/></COLOR>Get the following item. <ITEMNAME=40972/>
9587	People are excited about your story. 
9588	<COLOR=FFE36C0A>[Quest End - Bellona]<RETURN=1/></COLOR>Thank you.<RETURN=1/><RETURN=1/>Your heroic story is spreading all over Brakion.
9589	<COLOR=FFE36C0A>[Quest Start - Bellona]<RETURN=1/></COLOR>People are excited about your story. <RETURN=1/><RETURN=1/>Anyone with the Pledge of Helron is a hero, and your story will vitalize the war-stricken. If you're a hero, prove it and tell us your story. Your story will be a hope for everyone.<RETURN=1/><RETURN=1/><COLOR=FFE36C0A>[Task]<RETURN=1/></COLOR>Get the following item. <ITEMNAME=40973/>
9590	People are excited about your story.
9591	<COLOR=FFE36C0A>[Quest End - Bellona]<RETURN=1/></COLOR>Thank you.<RETURN=1/><RETURN=1/>Your heroic story is spreading all over Brakion.
9592	<COLOR=FFE36C0A>[Quest Start - Bellona]<RETURN=1/></COLOR>People are excited about your story. <RETURN=1/><RETURN=1/>Anyone with the Pledge of Helron is a hero, and your story will vitalize the war-stricken. If you're a hero, prove it and tell us your story. Your story will be a hope for everyone.<RETURN=1/><RETURN=1/><COLOR=FFE36C0A>[Task]<RETURN=1/></COLOR>Get the following item. <ITEMNAME=40974/>
9593	People are excited about your story.
9594	<COLOR=FFE36C0A>[Quest End - Bellona]<RETURN=1/></COLOR>Thank you.<RETURN=1/><RETURN=1/>Your heroic story is spreading all over Brakion.
9595	<COLOR=FFE36C0A>[Quest Start - Bellona]<RETURN=1/></COLOR>People are excited about your story. <RETURN=1/><RETURN=1/>Anyone with the Pledge of Helron is a hero, and your story will vitalize the war-stricken. If you're a hero, prove it and tell us your story. Your story will be a hope for everyone.<RETURN=1/><RETURN=1/><COLOR=FFE36C0A>[Task]<RETURN=1/></COLOR>Get the following item. <ITEMNAME=40975/>
9596	People are excited about your story.
9597	<COLOR=FFE36C0A>[Quest End - Bellona]<RETURN=1/></COLOR>Thank you.<RETURN=1/><RETURN=1/>Your heroic story is spreading all over Brakion.
9598	<COLOR=FFE36C0A>[Quest Start - Bellona]<RETURN=1/></COLOR>Your heroic story is spreading all over Brakion.<RETURN=1/><RETURN=1/>Anyone with the Pledge of Helron is a hero, and your story will vitalize the war-stricken. If you're a hero, prove it and tell us your story. Your story will be a hope for everyone.<RETURN=1/><RETURN=1/><COLOR=FFE36C0A>[Task]<RETURN=1/></COLOR>Get the following item. <ITEMNAME=40972/>
9599	Your heroic story is spreading all over Brakion.
9600	<COLOR=FFE36C0A>[Quest End - Bellona]<RETURN=1/></COLOR>Thank you.<RETURN=1/><RETURN=1/>People are praising the hero and rushing to join the army.
9601	<COLOR=FFE36C0A>[Quest Start - Bellona]<RETURN=1/></COLOR>Your heroic story is spreading all over Brakion.<RETURN=1/><RETURN=1/>Anyone with the Pledge of Helron is a hero, and your story will vitalize the war-stricken. If you're a hero, prove it and tell us your story. Your story will be a hope for everyone.<RETURN=1/><RETURN=1/><COLOR=FFE36C0A>[Task]<RETURN=1/></COLOR>Get the following item. <ITEMNAME=40973/>
9602	Your heroic story is spreading all over Brakion.
9603	<COLOR=FFE36C0A>[Quest End - Bellona]<RETURN=1/></COLOR>Thank you.<RETURN=1/><RETURN=1/>People are praising the hero and rushing to join the army.
9604	<COLOR=FFE36C0A>[Quest Start - Bellona]<RETURN=1/></COLOR>Your heroic story is spreading all over Brakion.<RETURN=1/><RETURN=1/>Anyone with the Pledge of Helron is a hero, and your story will vitalize the war-stricken. If you're a hero, prove it and tell us your story. Your story will be a hope for everyone.<RETURN=1/><RETURN=1/><COLOR=FFE36C0A>[Task]<RETURN=1/></COLOR>Get the following item. <ITEMNAME=40974/>
9605	Your heroic story is spreading all over Brakion.
9606	<COLOR=FFE36C0A>[Quest End - Bellona]<RETURN=1/></COLOR>Thank you.<RETURN=1/><RETURN=1/>People are praising the hero and rushing to join the army.
9607	<COLOR=FFE36C0A>[Quest Start - Bellona]<RETURN=1/></COLOR>Your heroic story is spreading all over Brakion.<RETURN=1/><RETURN=1/>Anyone with the Pledge of Helron is a hero, and your story will vitalize the war-stricken. If you're a hero, prove it and tell us your story. Your story will be a hope for everyone.<RETURN=1/><RETURN=1/><COLOR=FFE36C0A>[Task]<RETURN=1/></COLOR>Get the following item. <ITEMNAME=40975/>
9608	Your heroic story is spreading all over Brakion.
9609	<COLOR=FFE36C0A>[Quest End - Bellona]<RETURN=1/></COLOR>Thank you.<RETURN=1/><RETURN=1/>People are praising the hero and rushing to join the army.
9610	<COLOR=FFE36C0A>[Quest Start - Bellona]<RETURN=1/></COLOR>People are excited about the story of a hero.<RETURN=1/><RETURN=1/>Anyone with the Pledge of Helron is a hero, and your story will vitalize the war-stricken. If you're a hero, prove it and tell us your story. Your story will be a hope for everyone.<RETURN=1/><RETURN=1/><COLOR=FFE36C0A>[Task]<RETURN=1/></COLOR>Get the following item. <ITEMNAME=40972/>
9611	People are excited about the story of a hero.
9612	<COLOR=FFE36C0A>[Quest End - Bellona]<RETURN=1/></COLOR>Thank you.<RETURN=1/><RETURN=1/>People are finding hope in the story of a hero.
9613	<COLOR=FFE36C0A>[Quest Start - Bellona]<RETURN=1/></COLOR>People are excited about the story of a hero.<RETURN=1/><RETURN=1/>Anyone with the Pledge of Helron is a hero, and your story will vitalize the war-stricken. If you're a hero, prove it and tell us your story. Your story will be a hope for everyone.<RETURN=1/><RETURN=1/><COLOR=FFE36C0A>[Task]<RETURN=1/></COLOR>Get the following item. <ITEMNAME=40973/>
9614	People are excited about the story of a hero.
9615	<COLOR=FFE36C0A>[Quest End - Bellona]<RETURN=1/></COLOR>Thank you.<RETURN=1/><RETURN=1/>People are finding hope in the story of a hero.
9616	<COLOR=FFE36C0A>[Quest Start - Bellona]<RETURN=1/></COLOR>People are excited about the story of a hero.<RETURN=1/><RETURN=1/>Anyone with the Pledge of Helron is a hero, and your story will vitalize the war-stricken. If you're a hero, prove it and tell us your story. Your story will be a hope for everyone.<RETURN=1/><RETURN=1/><COLOR=FFE36C0A>[Task]<RETURN=1/></COLOR>Get the following item. <ITEMNAME=40974/>
9617	People are excited about the story of a hero.
9618	<COLOR=FFE36C0A>[Quest End - Bellona]<RETURN=1/></COLOR>Thank you.<RETURN=1/><RETURN=1/>People are finding hope in the story of a hero.
9619	<COLOR=FFE36C0A>[Quest Start - Bellona]<RETURN=1/></COLOR>People are excited about the story of a hero.<RETURN=1/><RETURN=1/>Anyone with the Pledge of Helron is a hero, and your story will vitalize the war-stricken. If you're a hero, prove it and tell us your story. Your story will be a hope for everyone.<RETURN=1/><RETURN=1/><COLOR=FFE36C0A>[Task]<RETURN=1/></COLOR>Get the following item. <ITEMNAME=40975/>
9620	People are excited about the story of a hero.
9621	<COLOR=FFE36C0A>[Quest End - Bellona]<RETURN=1/></COLOR>Thank you.<RETURN=1/><RETURN=1/>People are finding hope in the story of a hero.
9622	<COLOR=FFE36C0A>[Quest Start - Hilara]<RETURN=1/></COLOR>Do you remember the victory in <MAPNAME=27/>?<RETURN=1/><RETURN=1/>Eliminate demons in <MAPNAME=27/> to prove your strength.<RETURN=1/><RETURN=1/><COLOR=FFE36C0A>[Task]<RETURN=1/></COLOR>Eliminate the following monsters in <MAPNAME=27/>. <NPCNAME= 692/>
9623	Eliminate demons to prove your strength.
9624	<COLOR=FFE36C0A>[Quest End - Hilara]<RETURN=1/></COLOR>Well done.<RETURN=1/><RETURN=1/>I can see why you are the hero!
9625	<COLOR=FFE36C0A>[Quest Start - Hilara]<RETURN=1/></COLOR>Do you remember the victory in <MAPNAME=28/>?<RETURN=1/><RETURN=1/>Eliminate demons in <MAPNAME=28/> to prove your strength.<RETURN=1/><RETURN=1/><COLOR=FFE36C0A>[Task]<RETURN=1/></COLOR>Eliminate the following monsters in <MAPNAME=28/>. <NPCNAME= 752/>
9626	Eliminate demons to prove your strength.
9627	<COLOR=FFE36C0A>[Quest End - Hilara]<RETURN=1/></COLOR>Well done.<RETURN=1/><RETURN=1/>I can see why you are the hero!
9628	<COLOR=FFE36C0A>[Quest Start - Hilara]<RETURN=1/></COLOR>Do you remember the victory in <MAPNAME=29/>?<RETURN=1/><RETURN=1/>Eliminate demons in <MAPNAME=29/> to prove your strength.<RETURN=1/><RETURN=1/><COLOR=FFE36C0A>[Task]<RETURN=1/></COLOR>Eliminate the following monsters in <MAPNAME=29/>. <NPCNAME= 724/>, <NPCNAME= 725/>
9629	Eliminate demons to prove your strength.
9630	<COLOR=FFE36C0A>[Quest End - Hilara]<RETURN=1/></COLOR>Well done.<RETURN=1/><RETURN=1/>I can see why you are the hero!
9631	<COLOR=FFE36C0A>[Quest Start - Hilara]<RETURN=1/></COLOR>Do you have <ITEMNAME=40977/>?<RETURN=1/><RETURN=1/>I've always wanted it. Do you have it?<RETURN=1/><RETURN=1/><COLOR=FFE36C0A>[Task]<RETURN=1/></COLOR>Get <ITEMNAME=40977/>.
9632	War loot is always welcome.
9633	<COLOR=FFE36C0A>[Quest End - Hilara]<RETURN=1/></COLOR>Thank you.<RETURN=1/><RETURN=1/>Bring me items any time.
9634	<COLOR=FFE36C0A>[Quest Start - Hilara]<RETURN=1/></COLOR>Do you have <ITEMNAME=40977/>?<RETURN=1/><RETURN=1/>I've always wanted it. Do you have it?<RETURN=1/><RETURN=1/><COLOR=FFE36C0A>[Task]<RETURN=1/></COLOR>Get <ITEMNAME=40977/>.
9635	War loot is always welcome.
9636	<COLOR=FFE36C0A>[Quest End - Hilara]<RETURN=1/></COLOR>Thank you.<RETURN=1/><RETURN=1/>Bring me items any time.
9637	<COLOR=FFE36C0A>[Quest Start - Hilara]<RETURN=1/></COLOR>Do you have <ITEMNAME=40977/>?<RETURN=1/><RETURN=1/>I've always wanted it. Do you have it?<RETURN=1/><RETURN=1/><COLOR=FFE36C0A>[Task]<RETURN=1/></COLOR>Get <ITEMNAME=40977/>.
9638	War loot is always welcome.
9639	<COLOR=FFE36C0A>[Quest End - Hilara]<RETURN=1/></COLOR>Thank you.<RETURN=1/><RETURN=1/>Bring me items any time.
9649	<COLOR=FFE36C0A>[Quest Start - Hilara]<RETURN=1/></COLOR>Do you have <ITEMNAME=40979/>?<RETURN=1/><RETURN=1/>I've always wanted it. Do you have it?<RETURN=1/><RETURN=1/><COLOR=FFE36C0A>[Task]<RETURN=1/></COLOR>Get <ITEMNAME=40979/>.
9650	War loot is always welcome.
9651	<COLOR=FFE36C0A>[Quest End - Hilara]<RETURN=1/></COLOR>Thank you.<RETURN=1/><RETURN=1/>Bring me items any time.
9652	<COLOR=FFE36C0A>[Quest Start - Hilara]<RETURN=1/></COLOR>Do you have <ITEMNAME=40979/>?<RETURN=1/><RETURN=1/>I've always wanted it. Do you have it?<RETURN=1/><RETURN=1/><COLOR=FFE36C0A>[Task]<RETURN=1/></COLOR>Get <ITEMNAME=40979/>.
9653	War loot is always welcome.
9654	<COLOR=FFE36C0A>[Quest End - Hilara]<RETURN=1/></COLOR>Thank you.<RETURN=1/><RETURN=1/>Bring me items any time.
9655	<COLOR=FFE36C0A>[Quest Start - Hilara]<RETURN=1/></COLOR>Do you have <ITEMNAME=40979/>?<RETURN=1/><RETURN=1/>I've always wanted it. Do you have it?<RETURN=1/><RETURN=1/><COLOR=FFE36C0A>[Task]<RETURN=1/></COLOR>Get <ITEMNAME=40979/>.
9656	War loot is always welcome.
9657	<COLOR=FFE36C0A>[Quest End - Hilara]<RETURN=1/></COLOR>Thank you.<RETURN=1/><RETURN=1/>Bring me items any time.
9658	<COLOR=FFE36C0A>[Quest Start - Hilara]<RETURN=1/></COLOR>You're a hero.<RETURN=1/><RETURN=1/>Eliminate more powerful demons to prove your strength.<RETURN=1/><RETURN=1/><COLOR=FFE36C0A>[Task]<RETURN=1/></COLOR>Eliminate the following monsters in <MAPNAME=27/>. <NPCNAME= 692/>
9659	Eliminate more powerful demons to prove you're a hero.
9660	<COLOR=FFE36C0A>[Quest End - Hilara]<RETURN=1/></COLOR>Good job.<RETURN=1/><RETURN=1/>Everyone admires you as a hero.
9661	<COLOR=FFE36C0A>[Quest Start - Hilara]<RETURN=1/></COLOR>You're a hero.<RETURN=1/><RETURN=1/>Eliminate more powerful demons to prove your strength.<RETURN=1/><RETURN=1/><COLOR=FFE36C0A>[Task]<RETURN=1/></COLOR>Eliminate the following monsters in <MAPNAME=28/>. <NPCNAME= 752/> <NPCNAME= 753/>, <NPCNAME= 754/>
9662	Eliminate more powerful demons to prove you're a hero.
9663	<COLOR=FFE36C0A>[Quest End - Hilara]<RETURN=1/></COLOR>Good job.<RETURN=1/><RETURN=1/>Everyone admires you as a hero.
9664	<COLOR=FFE36C0A>[Quest Start]<RETURN=1/></COLOR>You're a hero.<RETURN=1/><RETURN=1/>Eliminate more powerful demons to prove your strength.<RETURN=1/><RETURN=1/><COLOR=FFE36C0A>[Task]<RETURN=1/></COLOR>Eliminate the following monsters in <MAPNAME=29/>. <NPCNAME= 724/>, <NPCNAME= 725/>, <NPCNAME= 722/>, <NPCNAME= 723/>, <NPCNAME= 715/>
9665	Eliminate more powerful demons to prove you're a hero.
9666	<COLOR=FFE36C0A>[Quest End - Hilara]<RETURN=1/></COLOR>Good job.<RETURN=1/><RETURN=1/>Everyone admires you as a hero.
9667	<COLOR=FFE36C0A>[Quest Start - Hilara]<RETURN=1/></COLOR>You're a hero.<RETURN=1/><RETURN=1/>Eliminate more powerful demons to prove your strength.<RETURN=1/><RETURN=1/><COLOR=FFE36C0A>[Task]<RETURN=1/></COLOR>Eliminate the following monsters in <MAPNAME=26/>. <NPCNAME= 847/>, <NPCNAME= 848/>, <NPCNAME= 849/>, <NPCNAME= 850/>
9668	Eliminate more powerful demons to prove you're a hero.
9669	<COLOR=FFE36C0A>[Quest End - Hilara]<RETURN=1/></COLOR>Good job.<RETURN=1/><RETURN=1/>Everyone admires you as a hero.
9670	<COLOR=FFE36C0A>[Quest Start - Hilara]<RETURN=1/></COLOR>Do you have <ITEMNAME=40981/>?<RETURN=1/><RETURN=1/>I've always wanted it. Do you have it?<RETURN=1/><RETURN=1/><COLOR=FFE36C0A>[Task]<RETURN=1/></COLOR>Get <ITEMNAME=40981/>.
9671	Do you have <ITEMNAME=40981/>?
9672	<COLOR=FFE36C0A>[Quest End - Hilara]<RETURN=1/></COLOR>Thank you.<RETURN=1/><RETURN=1/>Bring me items any time.
9673	<COLOR=FFE36C0A>[Quest Start - Hilara]<RETURN=1/></COLOR>Do you have <ITEMNAME=40981/>?<RETURN=1/><RETURN=1/>I've always wanted it. Do you have it?<RETURN=1/><RETURN=1/><COLOR=FFE36C0A>[Task]<RETURN=1/></COLOR>Get <ITEMNAME=40981/>.
9674	Do you have <ITEMNAME=40981/>?
9675	<COLOR=FFE36C0A>[Quest End - Hilara]<RETURN=1/></COLOR>Thank you.<RETURN=1/><RETURN=1/>Bring me items any time.
9676	<COLOR=FFE36C0A>[Quest Start - Hilara]<RETURN=1/></COLOR>Do you have <ITEMNAME=40981/>?<RETURN=1/><RETURN=1/>I've always wanted it. Do you have it?<RETURN=1/><RETURN=1/><COLOR=FFE36C0A>[Task]<RETURN=1/></COLOR>Get <ITEMNAME=40981/>.
9677	Do you have <ITEMNAME=40981/>?
9678	<COLOR=FFE36C0A>[Quest End - Hilara]<RETURN=1/></COLOR>Thank you.<RETURN=1/><RETURN=1/>Bring me items any time.
9679	<COLOR=FFE36C0A>[Quest Start - Asteria]<RETURN=1/></COLOR>I have the best equipment for the Etherain War Horse.<RETURN=1/><RETURN=1/>But only heroes can have it. Are you a hero? Then bring me proof.<RETURN=1/><RETURN=1/><COLOR=FFE36C0A>[Task]<RETURN=1/></COLOR>Get the following items. <ITEMNAME=40972/>,<ITEMNAME=40973/>
