//	스킬 설명 스크립트																																																																																								
//				1 : Ability1SuccessRate		6 : Ability2SuccessRate		11 : Ability3SuccessRate		16 : Ability4SuccessRate		21 : Ability5SuccessRate					1 : Ability1SuccessRate		6 : Ability2SuccessRate		11 : Ability3SuccessRate		16 : Ability4SuccessRate		21 : Ability5SuccessRate																																																																
//				2 : Ability1Option1		7 : Ability2Option1		12 : Ability3Option1		17 : Ability4Option1		22 : Ability5Option1					2 : Ability1Option1		7 : Ability2Option1		12 : Ability3Option1		17 : Ability4Option1		22 : Ability5Option1																																																																
//				3 : Ability1Option2		8 : Ability2Option2		13 : Ability3Option2		18 : Ability4Option2		23 : Ability5Option2					3 : Ability1Option2		8 : Ability2Option2		13 : Ability3Option2		18 : Ability4Option2		23 : Ability5Option2																																																																
//				4 : Ability1Parameter1		9 : Ability2Parameter1		14 : Ability3Parameter1		19 : Ability4Parameter1		24 : Ability5Parameter1					4 : AbilityParameter1		9 : Ability2Parameter1		14 : Ability3Parameter1		19 : Ability4Parameter1		24 : Ability5Parameter1																																																																
//				5 : Ability1Parameter2		10 : Ability2Parameter2		15 : Ability3Parameter2		20 : Ability4Parameter2		25 : Ability5Parameter2					5 : AbilityParameter2		10 : Ability2Parameter2		15 : Ability3Parameter2		20 : Ability4Parameter2		25 : Ability5Parameter2																																																																
//																																																																																									
//																																																																																									
//																																																																																									
//																																																																																									
//																																																																																									
//																																																																																									
//	설명인덱스	스킬이름	스킬설명코드	어빌리티코드1	파라미터1표시방식	파라미터타입번호1	어빌리티코드2	파라미터2표시방식	파라미터타입번호2	어빌리티코드3	파라미터3표시방식	파라미터타입번호3	어빌리티코드4	파라미터4표시방식	파라미터타입번호4	어빌리티코드5	파라미터5표시방식	파라미터타입번호5	어빌리티코드6	파라미터6표시방식	파라미터타입번호6	어빌리티코드7	파라미터7표시방식	파라미터타입번호7	어빌리티코드8	파라미터8표시방식	파라미터타입번호8																																																														
	Index	SkillName	Scode	AbilityIDCode1	Type1	AbilityParameterNo1	AbilityIDCode2	Type2	AbilityParameterNo2	AbilityIDCode3	Type3	AbilityParameterNo3	AbilityIDCode4	Type4	AbilityParameterNo4	AbilityIDCode5	Type5	AbilityParameterNo5	AbilityIDCode6	Type6	AbilityParameterNo6	AbilityIDCode7	Type7	AbilityParameterNo7	AbilityIDCode8	Type8	AbilityParameterNo8	FieldEnd																																																													
	826	필멸의안식(1~11)	404054	386	2	1	1	1	22	2	2	25	2	3	30	2	1	29	210	1	17	210	1	11	0	0	0																																																														
	827	절멸의심판(1~11)	404056	1	1	22	210	1	5	210	1	11	210	1	17	0	0	0	0	0	0	0	0	0	0	0	0																																																														
	828	집중분쇄(1~11)	404058	1	1	10	101	3	18	2	2	19	2	3	24	2	1	23	210	1	5	0	0	0	0	0	0																																																														
	829	즉결심판(1~11)	404651	386	2	1	1	1	22	14	2	25	14	3	30	14	2	29	210	1	17	210	1	11	0	0	0																																																														
	830	신성방벽(1~11)	404060	109	3	6	114	3	12	20	3	18	20	2	17	4	3	24	4	2	23	0	0	0	0	0	0																																																														
	831	종말의외침(1~11)	404062	385	3	6	385	2	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																														
	832	천상의뇌격(1~11)	202851	1	1	10	210	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																														
	833	단죄의번개(1~11)	202852	1	1	10	11	2	13	11	3	18	11	2	17	210	1	5	0	0	0	0	0	0	0	0	0																																																														
	834	심판의번개(1~11)	202853	1	1	10	210	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																														
	835	천상의낙인(1~11)	202854	1	1	4	392	2	7	392	3	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																														
	836	격노의폭풍(1~11)	202855	1	1	4	2	2	7	2	3	12	2	1	11	389	2	13	389	3	18	0	0	0	0	0	0																																																														
	837	낙인폭발(1~11)	202856	1	1	10	210	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																														
	838	참회의파도(1~11)	202857	1	1	10	389	2	13	389	3	18	210	1	5	0	0	0	0	0	0	0	0	0	0	0	0																																																														
	839	신의분노(1~11)	202858	1	1	4	392	2	13	392	3	18	11	2	7	11	3	12	11	2	11	0	0	0	0	0	0																																																														
	840	수호의성가(1~11)	202859	365	2	5	14	2	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																														
	841	진격의성가(1~11)	202860	11	2	5	360	2	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																														
	842	빛의심판(1~11)	202861	1	1	10	2	2	13	2	3	18	2	1	17	389	2	19	389	3	24	210	1	5	0	0	0																																																														
	843	광휘의랜스(1~11)	202862	1	1	4	392	2	7	392	3	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																														
	844	신성강림(1~11)	202863	1	1	4	2	2	7	2	3	12	2	1	11	392	2	13	392	3	18	0	0	0	0	0	0																																																														
	845	저주의성역(1~11)	202864	1	1	4	107	2	7	107	1	11	391	2	13	391	1	17	25	2	19	25	2	23	0	0	0																																																														
	846	심판의섬격(1~11)	202865	1	1	10	11	2	13	11	3	18	11	2	17	389	2	19	389	3	24	210	1	5	0	0	0																																																														
	847	고결한희생(1~11)	202866	345	2	5	4	2	11	101	3	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																														
	848	수호의성역(1~11)	202867	4	1	5	14	2	11	391	1	17	25	1	23	0	0	0	0	0	0	0	0	0	0	0	0																																																														
																																																																																									
																																																																																									
																																																																																									
																																																																																									
																																																																																									
																																																																																									
																																																																																									
																																																																																									
																																																																																									
																																																																																									
																																																																																									
																																																																																									
																																																																																									
																																																																																									
																																																																																									
																																																																																									
																																																																																									
																																																																																									
																																																																																									
																																																																																									
																																																																																									
																																																																																									
																																																																																									
																																																																																									
																																																																																									
																																																																																									
